Ecm_cutoff,Lbyas,irrep,lattice_levels,accepted_windows,requested_window_rows,cache_row_indices,missing_rows,missing_first,required_cache_files,status
0.315,20,000_A1m,1,1,501,501,0,[],True,PASS
0.315,20,100_A2,2,2,1002,1002,0,[],True,PASS
0.315,20,110_A2,1,1,501,2004,0,[],True,PASS
0.315,20,111_A2,0,0,0,1002,0,[],True,PASS
0.315,20,200_A2,2,2,1002,1503,0,[],True,PASS
0.325,20,000_A1m,1,1,501,501,0,[],True,PASS
0.325,20,100_A2,2,2,1002,1002,0,[],True,PASS
0.325,20,110_A2,3,3,1503,2004,0,[],True,PASS
0.325,20,111_A2,1,1,501,1002,0,[],True,PASS
0.325,20,200_A2,2,2,1002,1503,0,[],True,PASS
0.335,20,000_A1m,1,1,501,501,0,[],True,PASS
0.335,20,100_A2,2,2,1002,1002,0,[],True,PASS
0.335,20,110_A2,4,4,2004,2004,0,[],True,PASS
0.335,20,111_A2,2,2,1002,1002,0,[],True,PASS
0.335,20,200_A2,3,3,1503,1503,0,[],True,PASS
0.345,20,000_A1m,1,1,501,501,0,[],True,PASS
0.345,20,100_A2,2,2,1002,1002,0,[],True,PASS
0.345,20,110_A2,4,4,2004,2004,0,[],True,PASS
0.345,20,111_A2,4,2,1002,1002,0,[],True,BLOCKED
0.345,20,200_A2,3,3,1503,1503,0,[],True,PASS
0.355,20,000_A1m,2,1,501,501,0,[],True,BLOCKED
0.355,20,100_A2,2,2,1002,1002,0,[],True,PASS
0.355,20,110_A2,4,4,2004,2004,0,[],True,PASS
0.355,20,111_A2,5,2,1002,1002,0,[],True,BLOCKED
0.355,20,200_A2,4,3,1503,1503,0,[],True,BLOCKED
